title,author,pub_date,genres
Planet of Exile,Ursula K. Le Guin,1966,"Science Fiction, Speculative fiction, Fiction, Novel"
Fortress Besieged,Qian Zhongshu,1947,"Fiction, Novel"
The Voyage of the Dawn Treader,C. S. Lewis,1952,"Speculative fiction, Fantasy, Children's literature"
The Silver Chair,C. S. Lewis,1953,"Speculative fiction, Fantasy, Children's literature"
Geek Love,Katherine Dunn,1989,"Speculative fiction, Fiction, Novel"
City of Illusions,Ursula K. Le Guin,1967,"Science Fiction, Speculative fiction, Fantasy, Fiction"
Malafrena,Ursula K. Le Guin,1979,"Alternate history, Science Fiction, Speculative fiction, Fantasy"
The Mosquito Coast,Paul Theroux,,
The Awakening,Kate Chopin,1899,"Romance novel, Reference, Fiction, Novella"
The Blithedale Romance,Nathaniel Hawthorne,1852,"Roman à clef, Fiction, Historical novel"
Under the Net,Iris Murdoch,,Fiction
Crystal Boys,Pai Hsien-yung,,
The Two Noble Kinsmen,John Fletcher,1634,
Things Fall Apart,Chinua Achebe,,"Novel, Children's literature, Poetry, Fiction"
Moneyball: The Art of Winning an Unfair Game,Michael Lewis,2003,Non-fiction
The Wind Done Gone,Alice Randall,2001-05-01,Parallel novel
Billy Budd,Herman Melville,,"Children's literature, Fiction, Novella"
Bleak House,Charles Dickens,1853,Novel
Bridge to Terabithia,Donna Diamond,1977-10-21,"Children's literature, Young adult literature, Speculative fiction, Fiction"
Uncle Dynamite,P. G. Wodehouse,,Fiction
Tourist Season,Carl Hiaasen,1986,"Crime Fiction, Mystery, Suspense"
"Come Back, Little Sheba",William Inge,,
Tigana,Guy Gavriel Kay,1990-08,"Science Fiction, Speculative fiction, Fantasy, Fiction"
The Red and the Black,Stendhal,1830-11,"Fiction, Novel"
Pincher Martin,William Golding,,Fiction
Chocky,John Wyndham,1968,"Science Fiction, Speculative fiction, Fiction"
Civilization and its Discontents,Sigmund Freud,1930,Non-fiction
Hay Fever,Noël Coward,,
Private Lives,Noël Coward,,
Blithe Spirit,Noël Coward,,
Agnes Grey,Anne Brontë,1847,
The Stepford Wives,Ira Levin,1972-09,"Thriller, Speculative fiction, Horror, Satire"
The Fifth Child,Doris Lessing,1988,"Fiction, Novel"
Anti-Ice,Stephen Baxter,1993-06,"Alternate history, Science Fiction, Speculative fiction, Fiction"
Shadow of the Giant,Orson Scott Card,2005,"Science Fiction, Speculative fiction, Fiction"
Design for Living,Noël Coward,,
A Personal Matter,Kenzaburō Ōe,,
Encounter With Tiber,Buzz Aldrin,1996,"Science Fiction, Speculative fiction, Fiction"
Night of the Aurochs,Dalton Trumbo,1979,War novel
"The Stars, Like Dust",Isaac Asimov,1951,"Science Fiction, Speculative fiction, Fiction, Whodunit"
The Swiss Family Robinson,Johann David Wyss,1812,"Children's literature, Fiction, Adventure novel"
The Makioka Sisters,,,
Slow Learner,Thomas Pynchon,1984,"Speculative fiction, Short story, Fiction"
The Sky So Big and Black,Batūl Khuḍayrī,,"Science Fiction, Speculative fiction, Fantasy, Fiction"
The Master of Go,Yasunari Kawabata,,Historical novel
The House of the Dead,Fyodor Dostoyevsky,,
The Legend of Luke,Brian Jacques,1999,"Children's literature, Fantasy, Speculative fiction, Fiction"
To a God Unknown,John Steinbeck,1933,Novel
Mystic River,Dennis Lehane,2001-02,"Mystery, Novel, Fiction, Suspense"
The Monkey Wrench Gang,Edward Abbey,1975-08-01,"Speculative fiction, Fiction, Novel"
Jin Ping Mei,Xiaoxiaosheng,,
Death from a Top Hat,Clayton Rawson,,"Mystery, Detective fiction"
The Autumn of the Patriarch,Gabriel García Márquez,1975,Novel
The Eyre Affair,Jasper Fforde,2001-07-19,"Alternate history, Fiction, Novel"
I Am a Cat,Soseki Natsume,,"Comic novel, Comedy"
Swag,Elmore Leonard,1976,"Mystery, Fiction, Suspense"
The Moon and Sixpence,W. Somerset Maugham,1919,"Biographical novel, Historical fiction, Fiction, Roman à clef"
Against Interpretation,Susan Sontag,1966,Literary criticism
Say It With Poison,Ann Granger,,"Mystery, Suspense"
Camp Concentration,Thomas M. Disch,1968,"Science Fiction, Speculative fiction, Fiction, Dystopia"
The Bald Soprano,Eugène Ionesco,,
The Whole Man,John Brunner,1964,"Science Fiction, Speculative fiction"
Timescoop,John Brunner,,"Science Fiction, Speculative fiction"
Touching the Void,Joe Simpson,,
Silverlock,John Myers Myers,1949,"Speculative fiction, Fantasy, Fiction"
Matilda,Roald Dahl,1988,"Children's literature, Fantasy, Speculative fiction, Humour"
The Positronic Man,Isaac Asimov,1993-11,"Science Fiction, Fiction"
Brazil Red,Jean-Christophe Rufin,2001,
No Highway,Nevil Shute,1948-12,"Mystery, Speculative fiction, Fiction, Suspense"
"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money - That the Poor and the Middle Class Do Not!",Sharon Lechter,2000-04-01,Non-fiction
The Currents of Space,Isaac Asimov,1952,"Science Fiction, Speculative fiction, Fiction"
Foundation's Fear,Gregory Benford,1997-02,"Science Fiction, Speculative fiction"
Foundation and Chaos,Greg Bear,1998-02,"Science Fiction, Speculative fiction, Fiction"
Foundation's Triumph,David Brin,1999-05,"Science Fiction, Speculative fiction"
The Seagull,Anton Chekhov,,
Isaac Asimov's Caliban,Roger MacBride Allen,1993-03,"Science Fiction, Speculative fiction"
Isaac Asimov's Inferno,Roger MacBride Allen,1994-09,"Science Fiction, Speculative fiction"
Isaac Asimov's Utopia,,,Science Fiction
The Feast of the Goat,Mario Vargas Llosa,2001,"Novel, Fiction, Historical novel"
Lost in a Good Book,Jasper Fforde,2002,"Alternate history, Speculative fiction, Mystery, Fantasy"
Pan,Knut Hamsun,1894,Fiction
The Eye of Argon,Jim Theis,1970,"Speculative fiction, Fantasy"
The Glass Bead Game,Hermann Hesse,1943,"Science Fiction, Speculative fiction, Fiction, Novel"
Seven Days in New Crete,Robert Graves,,"Science Fiction, Speculative fiction, Fiction"
The Hitchhiker's Guide to the Galaxy,Douglas Adams,1979-10-12,"Science Fiction, Comic novel, Speculative fiction, Comic science fiction"
The Satanic Verses,Salman Rushdie,1988,"Speculative fiction, Children's literature, Fiction, Magic realism"
Galactic Pot-Healer,Philip K. Dick,1969,"Science Fiction, Speculative fiction, Fiction"
Jennifer Government,Max Barry,2003-01-21,"Dystopia, Satire, Speculative fiction, Utopian and dystopian fiction"
American Pastoral,Philip Roth,1997-05-12,"Fiction, Novel"
Down to a Sunless Sea,David Graham,,"Science Fiction, Speculative fiction, Novel"
Piercing the Darkness,Frank E. Peretti,,
Hegemony or Survival,Noam Chomsky,2003-11,"Political philosophy, Non-fiction"
The Mystery of the Yellow Room,Gaston Leroux,,"Mystery, Fantasy, Fiction, Suspense"
The Case of the Constant Suicides,John Dickson Carr,1941,"Detective fiction, Mystery, Fiction, Music"
Galilee,Clive Barker,1998,Speculative fiction
The Spy Who Loved Me,Ian Fleming,1962-04-16,Spy fiction
Assomoir,Émile Zola,1877,Novel
Trilby,George du Maurier,,Horror
Metropolitan,Walter Jon Williams,1995,"Science Fiction, Speculative fiction"
The Hellbound Heart,Clive Barker,,"Speculative fiction, Horror"
Five Children and It,E. Nesbit,1902,"Children's literature, Fantasy, Speculative fiction, Fiction"
Valley of the Dolls,Jacqueline Susann,1966,Romance novel
The Rise of Christianity,,,
Scaramouche: A Romance of the French Revolution,Rafael Sabatini,1921,Historical novel
K-PAX,Gene Brewer,1995,"Science Fiction, Speculative fiction, Fantasy, Fiction"
Medea,Euripides,,
The Frogs,Aristophanes,,
Them,Joyce Carol Oates,1969-06,"Speculative fiction, Fiction, Novel"
2061: Odyssey Three,Arthur C. Clarke,1987,"Science Fiction, Speculative fiction"
3001: The Final Odyssey,Arthur C. Clarke,1997,"Science Fiction, Speculative fiction"
Rama Revealed,Arthur C. Clarke,1993-10-14,"Science Fiction, Speculative fiction"
At the Mountains of Madness,H. P. Lovecraft,,"Science Fiction, Horror, Speculative fiction, Mystery"
Maskerade,Terry Pratchett,1995,"Science Fiction, Speculative fiction, Fantasy, Fiction"
Footfall,Jerry Pournelle,1985-05-12,"Science Fiction, Speculative fiction, Fiction"
Shade's Children,Garth Nix,1997-09,"Science Fiction, Speculative fiction, Fantasy, Dystopia"
The Bonfire of the Vanities,Tom Wolfe,1987,"Fiction, Novel"
On My Way to Paradise,Dave Wolverton,1989,Science Fiction
Ice Station Zebra,Alistair MacLean,1963,"Thriller, Novel"
Saturday Night and Sunday Morning,Alan Sillitoe,1958,
Inferno,Jerry Pournelle,1976,"Science Fiction, Speculative fiction, Fiction, Novel"
The Bridge of San Luis Rey,Thornton Wilder,1927,"Fiction, Novella, Novel"
The Owl Service,Alan Garner,1967,"Fantasy, Speculative fiction, Young adult literature"
Maya the Bee,Waldemar Bonsels,1912,Children's literature
Baudolino,Umberto Eco,2000,"Speculative fiction, Historical fiction, Romance novel, Fantasy"
Tintin in Tibet,Hergé,1960,
The Ugly Little Boy,Isaac Asimov,1958-09,"Science Fiction, Novel"
The Man-eaters of Tsavo,John Henry Patterson,,Non-fiction
Ponniyin Selvan,Kalki Krishnamurthy,,"Thriller, Spy fiction, Novel, Romance novel"
The Temple of Elemental Evil,Frank Mentzer,,Role-playing game
A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,1998-05-04,Non-fiction
In the Country of Last Things,Paul Auster,1987,"Speculative fiction, Dystopia, Utopian and dystopian fiction"
The Path to the Nest of Spiders,Italo Calvino,1947,
Orlando Innamorato,Matteo Maria Boiardo,,
Bartleby the Scrivener,Herman Melville,1853-11,
Shikasta,Doris Lessing,1979,"Science Fiction, Fiction"
Expedition to the Barrier Peaks,Gary Gygax,1980,Role-playing game
Down and Out in the Magic Kingdom,Cory Doctorow,2003-02-01,"Science Fiction, Speculative fiction"
I Like Pumpkins,Jerry Smath,2003,
National Velvet,Enid Bagnold,1935,"Children's literature, Fiction"
I Never Promised You a Rose Garden,Joanne Greenberg,1964,"Autobiographical novel, Children's literature, Fiction"
The Sum of All Fears,Tom Clancy,,"Thriller, Speculative fiction, Fiction"
"He, She and It",Marge Piercy,1991,"Science Fiction, Speculative fiction, Fiction"
Exercitatio Anatomica de Motu Cordis et Sanguinis in Animalibus,William Harvey,,
Our Dumb Century,The Onion,1999-03-23,
Tintin in the Land of the Soviets,Hergé,1930,Comic book
Something Fresh,P. G. Wodehouse,1915-09-16,"Comic novel, Comedy, Fiction"
The Light of Other Days,Stephen Baxter,2000-04-16,"Science Fiction, Speculative fiction, Transhumanism"
Do I Hear a Waltz?,Richard Rodgers,,
The Integral Trees,Larry Niven,1984,"Science Fiction, Speculative fiction, Fiction, Novel"
The Age of Innocence,Edith Wharton,1920,"Fiction, Romance novel, Novel"
With Fire and Sword,Henryk Sienkiewicz,1884,Historical novel
Sabriel,Garth Nix,,"Science Fiction, Children's literature, Fantasy, Speculative fiction"
The Amber Spyglass,Philip Pullman,2000,"Science Fiction, Children's literature, Fantasy, Speculative fiction"
The Tao of Pooh,Benjamin Hoff,1982,
Protagoras,Plato,,
Summer Lightning,P. G. Wodehouse,1929-07-19,"Comic novel, Speculative fiction, Fiction, Comedy"
Riddley Walker,Russell Hoban,1980,"Science Fiction, Speculative fiction, Fiction, Utopian and dystopian fiction"
The Case of Charles Dexter Ward,H. P. Lovecraft,,Speculative fiction
334,Thomas M. Disch,1972,"Dystopia, Science Fiction, Speculative fiction, Fiction"
N or M?,Agatha Christie,,"Crime Fiction, Mystery"
The Mist,Stephen King,,Novella
The Seven Dials Mystery,Agatha Christie,,"Crime Fiction, Mystery, Fiction, Suspense"
Travesties,Tom Stoppard,,
Ronia the Robber's Daughter,Astrid Lindgren,1981,Children's literature
Pet Sematary,Stephen King,1983-11-14,"Speculative fiction, Horror, Fiction, Suspense"
Firestarter,Stephen King,1980-09-29,"Thriller, Science Fiction, Children's literature, Horror"
Rage,Stephen King,,"Speculative fiction, Horror"
The Regulators,Stephen King,1996-09-24,"Science Fiction, Speculative fiction, Horror"
The Two Georges,Harry Turtledove,,"Alternate history, Science Fiction, Speculative fiction, Fiction"
The Adventure of the Lion's Mane,Arthur Conan Doyle,,
Oryx and Crake,Margaret Atwood,,"Dystopia, Science Fiction, Speculative fiction, Novel"
Temple,Matthew Reilly,1999-08,"Thriller, Techno-thriller, Speculative fiction, Fiction"
The Man Who Folded Himself,David Gerrold,1973,"Time travel, Speculative fiction, Science Fiction, Fiction"
The Four Feathers,A. E. W. Mason,1902,Adventure novel
Ice Station,Matthew Reilly,1998-08,"Techno-thriller, Speculative fiction, Fiction"
The Magic Mountain,Thomas Mann,1924,"Fiction, Bildungsroman"
The Bridge on the Drina,Ivo Andrić,1945,Novel
The Castle,Franz Kafka,,"Dystopia, Fiction, Utopian and dystopian fiction"
Invisible Monsters,Chuck Palahniuk,1999-09,"Speculative fiction, Fiction, Novel"
Speak,Laurie Halse Anderson,1999-10,"Children's literature, Fiction, Novel"
Ripley Under Water,Patricia Highsmith,1991-10-03,"Crime Fiction, Mystery"
The Broken Ear,Hergé,1937,Comic book
The Secret of Chimneys,Agatha Christie,,"Crime Fiction, Mystery, Fiction, Suspense"
Tintin in the Congo,Hergé,1931,Comic book
The Black Island,Hergé,1938,Comic book
The Secret of the Unicorn,Hergé,1943,
Red Rackham's Treasure,Hergé,1944,
The Pelican Brief,John Grisham,1992,"Children's literature, Fiction, Novel"
The Fall of the House of Usher,Edgar Allan Poe,1839-09,Horror
Tintin and the Picaros,Hergé,1976,
"Unweaving the Rainbow: Science, Delusion and the Appetite for Wonder",Richard Dawkins,1998,Non-fiction
The Seven Crystal Balls,Hergé,1948,
In the Skin of a Lion,Michael Ondaatje,,Fiction
The World of Null-A,A. E. van Vogt,1948,"Science Fiction, Speculative fiction, Novel"
The Black Arrow: A Tale of the Two Roses,Robert Louis Stevenson,1888,"Children's literature, Adventure novel, Speculative fiction, Romance novel"
Interesting Times,Terry Pratchett,,"Science Fiction, Children's literature, Speculative fiction, Fantasy"
Prisoners of the Sun,Hergé,1949,
Land of Black Gold,Hergé,1950,
The Present and the Past,Ivy Compton-Burnett,,Fiction
Jenny lives with Eric and Martin,Susanne Bösche,,"Picture book, Children's literature"
Explorers on the Moon,Hergé,1954,Comic book
The Calculus Affair,Hergé,1956,
The Dragon Reborn,Robert Jordan,1991-10-15,"Speculative fiction, Fantasy"
The Fires of Heaven,Robert Jordan,1993-10-15,"Speculative fiction, Fantasy"
The Shadow Rising,Robert Jordan,1992-09-15,"Speculative fiction, Fantasy"
1876,Gore Vidal,1976,"History, Novel"
Last of the Curlews,Fred Bodsworth,,"Fiction, Novel"
Reaper Man,Terry Pratchett,,"Science Fiction, Speculative fiction, Fantasy, Fiction"
Men at Arms,Terry Pratchett,,"Science Fiction, Speculative fiction, Fantasy, Fiction"
Hogfather,Terry Pratchett,,"Speculative fiction, Fantasy, Fiction"
Thief of Time,Terry Pratchett,2001,"Science Fiction, Speculative fiction, Fantasy, Fiction"
Code of the Lifemaker,James P. Hogan,,"Science Fiction, Speculative fiction, Fiction"
Free Culture: How Big Media Uses Technology and the Law to Lock Down Culture and Control Creativity,Lawrence Lessig,2004,Non-fiction
Killing Mr. Griffin,Lois Duncan,1978-04,"Children's literature, Young adult literature, Fiction, Suspense"
Peer Gynt,Henrik Ibsen,,
Venus and Adonis,William Shakespeare,1593,
A Wrinkle in Time,Madeleine L'Engle,1962,"Fantasy, Science Fiction, Speculative fiction, Young adult literature"
Lord of Chaos,Robert Jordan,1994-10-15,"Speculative fiction, Fantasy"
The Outsiders,S. E. Hinton,,"Children's literature, Young adult literature, Speculative fiction, Fiction"
The Manuscript Found in Saragossa,Jan Potocki,,
The Power and the Glory,Graham Greene,1940,"Speculative fiction, Children's literature, Fiction, Novel"
The End of the Affair,Graham Greene,,"Speculative fiction, Fiction, Novel"
Master Harold...and the Boys,Athol Fugard,,
The Idiot,Fyodor Dostoyevsky,1869,Novel
Telempath,Spider Robinson,,"Science Fiction, Speculative fiction, Fiction"
Tell Me Your Dreams,Sidney Sheldon,1998,Thriller
The Doomsday Conspiracy,Sidney Sheldon,1991,"Thriller, Fiction, Novel"
Altered Carbon,Richard Morgan,2002-02-28,"Science Fiction, Speculative fiction, Hardboiled"
Death on the Nile,Agatha Christie,,"Crime Fiction, Mystery, Fiction, Suspense"
Dot and the Kangaroo,Ethel Pedley,1899,Children's literature
New English Bible,,,
The Seven-Per-Cent Solution,Nicholas Meyer,1974-07,"Detective fiction, Fiction"
Jimmy Corrigan: The Smartest Kid on Earth,Chris Ware,2000,Graphic novel
Palestine,Joe Sacco,,"Comics, Comic book, Fiction, Graphic novel"
Like a Velvet Glove Cast in Iron,Daniel Clowes,,"Comics, Speculative fiction, Fiction, Humour"
David Boring,Daniel Clowes,,"Speculative fiction, Fantasy, Children's literature"
The Shipping News,E. Annie Proulx,1993,Novel
A Time for Judas,Morley Callaghan,1983-09,"Fiction, Novel"
Waldo,Robert A. Heinlein,1950,"Science Fiction, Short story"
The Fifth Elephant,Terry Pratchett,1999,"Speculative fiction, Fantasy, Fiction"
The Confusion,Neal Stephenson,2004,"Speculative fiction, Historical fiction, Fiction, Historical novel"
Northern Lights,Philip Pullman,1995,"Children's literature, Fantasy, Speculative fiction, Steampunk"
The Science of Discworld II: The Globe,,2002,Alternate history
Moon Palace,Paul Auster,1989-02,"Speculative fiction, Fiction, Picaresque novel"
Independent People,Halldór Laxness,1934,Novel
The Vagina Monologues,Eve Ensler,,
Bridge of Birds,Barry Hughart,1984,"Science Fiction, Speculative fiction, Fantasy, Fiction"
Viper in the Fist,Hervé Bazin,,
"A Child Called ""It""",Dave Pelzer,1995-09-01,"Biography, Children's literature"
"Are You There, God? It's Me, Margaret",Judy Blume,,Young adult literature
Angels and Demons,Dan Brown,2000-05,"Thriller, Crime Fiction, Novel, Speculative fiction"
The Science of Discworld,,,Alternate history
The Narrative of Arthur Gordon Pym of Nantucket,Edgar Allan Poe,1838-07,"Gothic fiction, Speculative fiction, Novel, Lost World"
